Team Home,Team Away,Ergebnis,Saison,Spieltag,Wochentag,Liga
VfL Wolfsburg,VfB Stuttgart,2:0,2009,1,Friday,bl1
Borussia Dortmund,1. FC Köln,1:0,2009,1,Saturday,bl1
1. FC Nürnberg,FC Schalke 04,1:2,2009,1,Saturday,bl1
SV Werder Bremen,Eintracht Frankfurt,2:3,2009,1,Saturday,bl1
Hertha BSC,Hannover 96,1:0,2009,1,Saturday,bl1
1. FSV Mainz 05,Bayer 04 Leverkusen,2:2,2009,1,Saturday,bl1
TSG Hoffenheim,FC Bayern München,1:1,2009,1,Saturday,bl1
VfL Bochum,Borussia Mönchengladbach,3:3,2009,1,Sunday,bl1
SC Freiburg,Hamburger SV,1:1,2009,1,Sunday,bl1
FC St. Pauli,Rot-Weiss Ahlen,2:1,2009,1,Friday,bl2
Rot-Weiss Oberhausen,1. FC Union Berlin,0:3,2009,1,Friday,bl2
Karlsruher SC,Alemannia Aachen,1:1,2009,1,Friday,bl2
1. FC Kaiserslautern,SpVgg Greuther Fürth,2:1,2009,1,Saturday,bl2
Fortuna Düsseldorf,SC Paderborn 07,3:0,2009,1,Saturday,bl2
FSV Frankfurt,MSV Duisburg,1:2,2009,1,Sunday,bl2
Energie Cottbus,FC Augsburg,3:1,2009,1,Sunday,bl2
TSV 1860 München,TuS Koblenz,2:0,2009,1,Sunday,bl2
Arminia Bielefeld,Hansa Rostock,3:1,2009,1,Monday,bl2
FC Bayern München,SV Werder Bremen,1:1,2009,2,Saturday,bl1
VfB Stuttgart,SC Freiburg,4:2,2009,2,Saturday,bl1
Hamburger SV,Borussia Dortmund,4:1,2009,2,Saturday,bl1
Bayer 04 Leverkusen,TSG Hoffenheim,1:0,2009,2,Saturday,bl1
Hannover 96,1. FSV Mainz 05,1:1,2009,2,Saturday,bl1
Eintracht Frankfurt,1. FC Nürnberg,1:1,2009,2,Saturday,bl1
1. FC Köln,VfL Wolfsburg,1:3,2009,2,Saturday,bl1
Borussia Mönchengladbach,Hertha BSC,2:1,2009,2,Sunday,bl1
FC Schalke 04,VfL Bochum,3:0,2009,2,Sunday,bl1
SpVgg Greuther Fürth,FSV Frankfurt,4:0,2009,2,Friday,bl2
SC Paderborn 07,Karlsruher SC,2:0,2009,2,Friday,bl2
MSV Duisburg,Energie Cottbus,2:2,2009,2,Friday,bl2
Hansa Rostock,TSV 1860 München,2:1,2009,2,Saturday,bl2
1. FC Union Berlin,Fortuna Düsseldorf,1:0,2009,2,Saturday,bl2
Rot-Weiss Ahlen,1. FC Kaiserslautern,0:1,2009,2,Sunday,bl2
FC Augsburg,Rot-Weiss Oberhausen,2:2,2009,2,Sunday,bl2
TuS Koblenz,Arminia Bielefeld,3:2,2009,2,Sunday,bl2
Alemannia Aachen,FC St. Pauli,0:5,2009,2,Monday,bl2
TSG Hoffenheim,FC Schalke 04,0:0,2009,3,Friday,bl1
Borussia Dortmund,VfB Stuttgart,1:1,2009,3,Saturday,bl1
1. FC Köln,Eintracht Frankfurt,0:0,2009,3,Saturday,bl1
SC Freiburg,Bayer 04 Leverkusen,0:5,2009,3,Saturday,bl1
1. FSV Mainz 05,FC Bayern München,2:1,2009,3,Saturday,bl1
1. FC Nürnberg,Hannover 96,0:2,2009,3,Saturday,bl1
VfL Bochum,Hertha BSC,1:0,2009,3,Sunday,bl1
VfL Wolfsburg,Hamburger SV,2:4,2009,3,Sunday,bl1
SV Werder Bremen,Borussia Mönchengladbach,3:0,2009,3,Sunday,bl1
FSV Frankfurt,SC Paderborn 07,0:0,2009,3,Friday,bl2
1. FC Union Berlin,Hansa Rostock,1:0,2009,3,Friday,bl2
Fortuna Düsseldorf,TuS Koblenz,1:0,2009,3,Friday,bl2
Arminia Bielefeld,FC Augsburg,1:2,2009,3,Saturday,bl2
FC St. Pauli,MSV Duisburg,2:2,2009,3,Saturday,bl2
Energie Cottbus,SpVgg Greuther Fürth,1:3,2009,3,Sunday,bl2
1. FC Kaiserslautern,Alemannia Aachen,1:1,2009,3,Sunday,bl2
Rot-Weiss Oberhausen,Rot-Weiss Ahlen,2:0,2009,3,Sunday,bl2
TSV 1860 München,Karlsruher SC,1:3,2009,3,Monday,bl2
Borussia Mönchengladbach,1. FSV Mainz 05,2:0,2009,4,Friday,bl1
VfB Stuttgart,1. FC Nürnberg,0:0,2009,4,Saturday,bl1
FC Schalke 04,SC Freiburg,0:1,2009,4,Saturday,bl1
Bayer 04 Leverkusen,VfL Bochum,2:1,2009,4,Saturday,bl1
Hannover 96,TSG Hoffenheim,0:1,2009,4,Saturday,bl1
Eintracht Frankfurt,Borussia Dortmund,1:1,2009,4,Saturday,bl1
FC Bayern München,VfL Wolfsburg,3:0,2009,4,Saturday,bl1
Hertha BSC,SV Werder Bremen,2:3,2009,4,Sunday,bl1
Hamburger SV,1. FC Köln,3:1,2009,4,Sunday,bl1
Karlsruher SC,FC St. Pauli,0:4,2009,4,Friday,bl2
Rot-Weiss Ahlen,TSV 1860 München,0:0,2009,4,Friday,bl2
TuS Koblenz,Energie Cottbus,0:2,2009,4,Friday,bl2
SpVgg Greuther Fürth,Arminia Bielefeld,2:4,2009,4,Saturday,bl2
Hansa Rostock,Rot-Weiss Oberhausen,0:2,2009,4,Saturday,bl2
Alemannia Aachen,FSV Frankfurt,3:0,2009,4,Sunday,bl2
FC Augsburg,1. FC Union Berlin,1:1,2009,4,Sunday,bl2
SC Paderborn 07,1. FC Kaiserslautern,0:0,2009,4,Sunday,bl2
MSV Duisburg,Fortuna Düsseldorf,3:0,2009,4,Monday,bl2
VfL Wolfsburg,Bayer 04 Leverkusen,2:3,2009,5,Saturday,bl1
Borussia Dortmund,FC Bayern München,1:5,2009,5,Saturday,bl1
TSG Hoffenheim,VfL Bochum,3:0,2009,5,Saturday,bl1
SC Freiburg,Eintracht Frankfurt,0:2,2009,5,Saturday,bl1
1. FSV Mainz 05,Hertha BSC,2:1,2009,5,Saturday,bl1
1. FC Nürnberg,Borussia Mönchengladbach,1:0,2009,5,Saturday,bl1
Hamburger SV,VfB Stuttgart,3:1,2009,5,Saturday,bl1
SV Werder Bremen,Hannover 96,0:0,2009,5,Sunday,bl1
1. FC Köln,FC Schalke 04,1:2,2009,5,Sunday,bl1
Arminia Bielefeld,Rot-Weiss Ahlen,2:0,2009,5,Friday,bl2
Fortuna Düsseldorf,FC Augsburg,1:1,2009,5,Friday,bl2
1. FC Kaiserslautern,MSV Duisburg,4:1,2009,5,Friday,bl2
TSV 1860 München,SpVgg Greuther Fürth,3:1,2009,5,Saturday,bl2
Hansa Rostock,TuS Koblenz,2:1,2009,5,Saturday,bl2
Rot-Weiss Oberhausen,Alemannia Aachen,1:0,2009,5,Sunday,bl2
FSV Frankfurt,FC St. Pauli,2:3,2009,5,Sunday,bl2
1. FC Union Berlin,SC Paderborn 07,5:4,2009,5,Sunday,bl2
Energie Cottbus,Karlsruher SC,2:4,2009,5,Monday,bl2
FC Schalke 04,VfL Wolfsburg,1:2,2009,6,Friday,bl1
FC Bayern München,1. FC Nürnberg,2:1,2009,6,Saturday,bl1
VfB Stuttgart,1. FC Köln,0:2,2009,6,Saturday,bl1
Hannover 96,Borussia Dortmund,1:1,2009,6,Saturday,bl1
VfL Bochum,1. FSV Mainz 05,2:3,2009,6,Saturday,bl1
Borussia Mönchengladbach,TSG Hoffenheim,2:4,2009,6,Saturday,bl1
Eintracht Frankfurt,Hamburger SV,1:1,2009,6,Sunday,bl1
Hertha BSC,SC Freiburg,0:4,2009,6,Sunday,bl1
Bayer 04 Leverkusen,SV Werder Bremen,0:0,2009,6,Sunday,bl1
Karlsruher SC,FSV Frankfurt,2:0,2009,6,Friday,bl2
MSV Duisburg,Arminia Bielefeld,0:3,2009,6,Friday,bl2
TuS Koblenz,1. FC Union Berlin,1:1,2009,6,Friday,bl2
SC Paderborn 07,Energie Cottbus,5:1,2009,6,Friday,bl2
SpVgg Greuther Fürth,Rot-Weiss Oberhausen,4:0,2009,6,Saturday,bl2
Rot-Weiss Ahlen,Fortuna Düsseldorf,1:4,2009,6,Saturday,bl2
Alemannia Aachen,TSV 1860 München,2:0,2009,6,Sunday,bl2
FC St. Pauli,1. FC Kaiserslautern,1:2,2009,6,Sunday,bl2
FC Augsburg,Hansa Rostock,5:2,2009,6,Sunday,bl2
1. FC Nürnberg,VfL Bochum,0:1,2009,7,Friday,bl1
VfL Wolfsburg,Hannover 96,4:2,2009,7,Saturday,bl1
Borussia Dortmund,FC Schalke 04,0:1,2009,7,Saturday,bl1
SV Werder Bremen,1. FSV Mainz 05,3:0,2009,7,Saturday,bl1
1. FC Köln,Bayer 04 Leverkusen,0:1,2009,7,Saturday,bl1
Eintracht Frankfurt,VfB Stuttgart,0:3,2009,7,Saturday,bl1
Hamburger SV,FC Bayern München,1:0,2009,7,Saturday,bl1
SC Freiburg,Borussia Mönchengladbach,3:0,2009,7,Sunday,bl1
TSG Hoffenheim,Hertha BSC,5:1,2009,7,Sunday,bl1
Energie Cottbus,FSV Frankfurt,3:0,2009,7,Friday,bl2
Rot-Weiss Oberhausen,MSV Duisburg,1:0,2009,7,Friday,bl2
1. FC Union Berlin,Rot-Weiss Ahlen,2:1,2009,7,Friday,bl2
Arminia Bielefeld,FC St. Pauli,1:0,2009,7,Saturday,bl2
1. FC Kaiserslautern,Karlsruher SC,2:0,2009,7,Saturday,bl2
FC Augsburg,TuS Koblenz,1:1,2009,7,Sunday,bl2
TSV 1860 München,SC Paderborn 07,0:0,2009,7,Sunday,bl2
Hansa Rostock,SpVgg Greuther Fürth,4:0,2009,7,Sunday,bl2
Fortuna Düsseldorf,Alemannia Aachen,0:0,2009,7,Monday,bl2
FC Schalke 04,Eintracht Frankfurt,2:0,2009,8,Friday,bl1
FC Bayern München,1. FC Köln,0:0,2009,8,Saturday,bl1
Bayer 04 Leverkusen,1. FC Nürnberg,4:0,2009,8,Saturday,bl1
Hannover 96,SC Freiburg,5:2,2009,8,Saturday,bl1
VfL Bochum,VfL Wolfsburg,1:1,2009,8,Saturday,bl1
1. FSV Mainz 05,TSG Hoffenheim,2:1,2009,8,Saturday,bl1
Borussia Mönchengladbach,Borussia Dortmund,0:1,2009,8,Saturday,bl1
VfB Stuttgart,SV Werder Bremen,0:2,2009,8,Sunday,bl1
Hertha BSC,Hamburger SV,1:3,2009,8,Sunday,bl1
Alemannia Aachen,Energie Cottbus,1:1,2009,8,Friday,bl2
MSV Duisburg,1. FC Union Berlin,3:1,2009,8,Friday,bl2
TuS Koblenz,Rot-Weiss Oberhausen,0:1,2009,8,Friday,bl2
SpVgg Greuther Fürth,Fortuna Düsseldorf,2:1,2009,8,Saturday,bl2
SC Paderborn 07,FC Augsburg,2:2,2009,8,Saturday,bl2
FC St. Pauli,TSV 1860 München,3:1,2009,8,Sunday,bl2
Rot-Weiss Ahlen,Hansa Rostock,0:2,2009,8,Sunday,bl2
FSV Frankfurt,1. FC Kaiserslautern,1:1,2009,8,Sunday,bl2
Karlsruher SC,Arminia Bielefeld,0:1,2009,8,Monday,bl2
VfB Stuttgart,FC Schalke 04,1:2,2009,9,Saturday,bl1
SV Werder Bremen,TSG Hoffenheim,2:0,2009,9,Saturday,bl1
1. FC Köln,1. FSV Mainz 05,1:0,2009,9,Saturday,bl1
Eintracht Frankfurt,Hannover 96,2:1,2009,9,Saturday,bl1
SC Freiburg,FC Bayern München,1:2,2009,9,Saturday,bl1
1. FC Nürnberg,Hertha BSC,3:0,2009,9,Saturday,bl1
Hamburger SV,Bayer 04 Leverkusen,0:0,2009,9,Saturday,bl1
VfL Wolfsburg,Borussia Mönchengladbach,2:1,2009,9,Sunday,bl1
Borussia Dortmund,VfL Bochum,2:0,2009,9,Sunday,bl1
Arminia Bielefeld,Alemannia Aachen,1:0,2009,9,Friday,bl2
Rot-Weiss Oberhausen,FC St. Pauli,1:3,2009,9,Friday,bl2
Energie Cottbus,1. FC Kaiserslautern,1:2,2009,9,Friday,bl2
TSV 1860 München,MSV Duisburg,3:1,2009,9,Saturday,bl2
Hansa Rostock,SC Paderborn 07,1:2,2009,9,Saturday,bl2
FC Augsburg,Karlsruher SC,1:1,2009,9,Sunday,bl2
TuS Koblenz,Rot-Weiss Ahlen,1:1,2009,9,Sunday,bl2
Fortuna Düsseldorf,FSV Frankfurt,4:1,2009,9,Sunday,bl2
1. FC Union Berlin,SpVgg Greuther Fürth,1:2,2009,9,Monday,bl2
Bayer 04 Leverkusen,Borussia Dortmund,1:1,2009,10,Friday,bl1
FC Bayern München,Eintracht Frankfurt,2:1,2009,10,Saturday,bl1
TSG Hoffenheim,1. FC Nürnberg,3:0,2009,10,Saturday,bl1
Hannover 96,VfB Stuttgart,1:0,2009,10,Saturday,bl1
Borussia Mönchengladbach,1. FC Köln,0:0,2009,10,Saturday,bl1
1. FSV Mainz 05,SC Freiburg,3:0,2009,10,Saturday,bl1
Hertha BSC,VfL Wolfsburg,0:0,2009,10,Sunday,bl1
FC Schalke 04,Hamburger SV,3:3,2009,10,Sunday,bl1
VfL Bochum,SV Werder Bremen,1:4,2009,10,Sunday,bl1
SpVgg Greuther Fürth,TuS Koblenz,1:2,2009,10,Friday,bl2
1. FC Kaiserslautern,Fortuna Düsseldorf,0:2,2009,10,Friday,bl2
Rot-Weiss Ahlen,FC Augsburg,1:3,2009,10,Friday,bl2
MSV Duisburg,Hansa Rostock,3:1,2009,10,Saturday,bl2
FSV Frankfurt,TSV 1860 München,3:2,2009,10,Saturday,bl2
Karlsruher SC,Rot-Weiss Oberhausen,1:1,2009,10,Sunday,bl2
Alemannia Aachen,1. FC Union Berlin,1:4,2009,10,Sunday,bl2
FC St. Pauli,Energie Cottbus,1:1,2009,10,Sunday,bl2
SC Paderborn 07,Arminia Bielefeld,0:2,2009,10,Monday,bl2
Borussia Dortmund,Hertha BSC,2:0,2009,11,Friday,bl1
VfL Wolfsburg,1. FSV Mainz 05,3:3,2009,11,Saturday,bl1
VfB Stuttgart,FC Bayern München,0:0,2009,11,Saturday,bl1
Hamburger SV,Borussia Mönchengladbach,2:3,2009,11,Saturday,bl1
1. FC Köln,Hannover 96,0:1,2009,11,Saturday,bl1
1. FC Nürnberg,SV Werder Bremen,2:2,2009,11,Saturday,bl1
FC Schalke 04,Bayer 04 Leverkusen,2:2,2009,11,Saturday,bl1
SC Freiburg,TSG Hoffenheim,0:1,2009,11,Sunday,bl1
Eintracht Frankfurt,VfL Bochum,2:1,2009,11,Sunday,bl1
Rot-Weiss Oberhausen,SC Paderborn 07,3:2,2009,11,Friday,bl2
1. FC Union Berlin,FSV Frankfurt,1:0,2009,11,Friday,bl2
Fortuna Düsseldorf,Karlsruher SC,1:0,2009,11,Friday,bl2
Arminia Bielefeld,Energie Cottbus,2:0,2009,11,Saturday,bl2
Rot-Weiss Ahlen,SpVgg Greuther Fürth,0:1,2009,11,Saturday,bl2
FC Augsburg,Alemannia Aachen,0:1,2009,11,Sunday,bl2
TSV 1860 München,1. FC Kaiserslautern,0:1,2009,11,Sunday,bl2
TuS Koblenz,MSV Duisburg,0:3,2009,11,Sunday,bl2
Hansa Rostock,FC St. Pauli,0:2,2009,11,Monday,bl2
Bayer 04 Leverkusen,Eintracht Frankfurt,4:0,2009,12,Friday,bl1
FC Bayern München,FC Schalke 04,1:1,2009,12,Saturday,bl1
TSG Hoffenheim,VfL Wolfsburg,1:2,2009,12,Saturday,bl1
VfL Bochum,SC Freiburg,1:2,2009,12,Saturday,bl1
Borussia Mönchengladbach,VfB Stuttgart,0:0,2009,12,Saturday,bl1
1. FSV Mainz 05,1. FC Nürnberg,1:0,2009,12,Saturday,bl1
Hannover 96,Hamburger SV,2:2,2009,12,Sunday,bl1
Hertha BSC,1. FC Köln,0:1,2009,12,Sunday,bl1
SV Werder Bremen,Borussia Dortmund,1:1,2009,12,Sunday,bl1
1. FC Kaiserslautern,Rot-Weiss Oberhausen,3:1,2009,12,Friday,bl2
FC St. Pauli,Fortuna Düsseldorf,2:1,2009,12,Friday,bl2
SC Paderborn 07,TuS Koblenz,2:1,2009,12,Friday,bl2
SpVgg Greuther Fürth,FC Augsburg,4:5,2009,12,Saturday,bl2
FSV Frankfurt,Arminia Bielefeld,0:0,2009,12,Saturday,bl2
Energie Cottbus,TSV 1860 München,1:0,2009,12,Sunday,bl2
Karlsruher SC,1. FC Union Berlin,3:2,2009,12,Sunday,bl2
MSV Duisburg,Rot-Weiss Ahlen,2:2,2009,12,Sunday,bl2
Alemannia Aachen,Hansa Rostock,1:0,2009,12,Monday,bl2
VfL Wolfsburg,1. FC Nürnberg,2:3,2009,13,Saturday,bl1
VfB Stuttgart,Hertha BSC,1:1,2009,13,Saturday,bl1
FC Schalke 04,Hannover 96,2:0,2009,13,Saturday,bl1
1. FC Köln,TSG Hoffenheim,0:4,2009,13,Saturday,bl1
Eintracht Frankfurt,Borussia Mönchengladbach,1:2,2009,13,Saturday,bl1
SC Freiburg,SV Werder Bremen,0:6,2009,13,Saturday,bl1
Borussia Dortmund,1. FSV Mainz 05,0:0,2009,13,Saturday,bl1
FC Bayern München,Bayer 04 Leverkusen,1:1,2009,13,Sunday,bl1
Hamburger SV,VfL Bochum,0:1,2009,13,Sunday,bl1
Rot-Weiss Ahlen,SC Paderborn 07,0:0,2009,13,Friday,bl2
Fortuna Düsseldorf,Energie Cottbus,2:1,2009,13,Friday,bl2
Arminia Bielefeld,TSV 1860 München,0:1,2009,13,Friday,bl2
Rot-Weiss Oberhausen,FSV Frankfurt,1:3,2009,13,Saturday,bl2
Hansa Rostock,Karlsruher SC,2:1,2009,13,Saturday,bl2
SpVgg Greuther Fürth,MSV Duisburg,0:1,2009,13,Sunday,bl2
FC Augsburg,FC St. Pauli,3:2,2009,13,Sunday,bl2
TuS Koblenz,Alemannia Aachen,1:0,2009,13,Sunday,bl2
1. FC Union Berlin,1. FC Kaiserslautern,0:2,2009,13,Monday,bl2
VfL Bochum,1. FC Köln,0:0,2009,14,Friday,bl1
Hertha BSC,Eintracht Frankfurt,1:3,2009,14,Saturday,bl1
TSG Hoffenheim,Borussia Dortmund,1:2,2009,14,Saturday,bl1
SV Werder Bremen,VfL Wolfsburg,2:2,2009,14,Saturday,bl1
1. FSV Mainz 05,Hamburger SV,1:1,2009,14,Saturday,bl1
1. FC Nürnberg,SC Freiburg,0:1,2009,14,Saturday,bl1
Borussia Mönchengladbach,FC Schalke 04,1:0,2009,14,Saturday,bl1
Bayer 04 Leverkusen,VfB Stuttgart,4:0,2009,14,Sunday,bl1
Hannover 96,FC Bayern München,0:3,2009,14,Sunday,bl1
Karlsruher SC,TuS Koblenz,2:1,2009,14,Friday,bl2
Alemannia Aachen,Rot-Weiss Ahlen,0:2,2009,14,Friday,bl2
FSV Frankfurt,Hansa Rostock,0:1,2009,14,Friday,bl2
MSV Duisburg,FC Augsburg,2:2,2009,14,Saturday,bl2
SC Paderborn 07,SpVgg Greuther Fürth,1:0,2009,14,Saturday,bl2
Energie Cottbus,Rot-Weiss Oberhausen,3:0,2009,14,Sunday,bl2
FC St. Pauli,1. FC Union Berlin,3:0,2009,14,Sunday,bl2
TSV 1860 München,Fortuna Düsseldorf,2:2,2009,14,Sunday,bl2
1. FC Kaiserslautern,Arminia Bielefeld,1:0,2009,14,Monday,bl2
FC Bayern München,Borussia Mönchengladbach,2:1,2009,15,Friday,bl1
VfL Wolfsburg,SC Freiburg,2:2,2009,15,Saturday,bl1
VfB Stuttgart,VfL Bochum,1:1,2009,15,Saturday,bl1
Hamburger SV,TSG Hoffenheim,0:0,2009,15,Saturday,bl1
Borussia Dortmund,1. FC Nürnberg,4:0,2009,15,Saturday,bl1
Hannover 96,Bayer 04 Leverkusen,0:0,2009,15,Saturday,bl1
Eintracht Frankfurt,1. FSV Mainz 05,2:0,2009,15,Saturday,bl1
1. FC Köln,SV Werder Bremen,0:0,2009,15,Sunday,bl1
FC Schalke 04,Hertha BSC,2:0,2009,15,Sunday,bl1
FC Augsburg,FSV Frankfurt,2:0,2009,15,Friday,bl2
1. FC Union Berlin,Energie Cottbus,1:1,2009,15,Friday,bl2
Fortuna Düsseldorf,Arminia Bielefeld,3:2,2009,15,Friday,bl2
Hansa Rostock,1. FC Kaiserslautern,0:1,2009,15,Saturday,bl2
TuS Koblenz,FC St. Pauli,1:5,2009,15,Saturday,bl2
Rot-Weiss Oberhausen,TSV 1860 München,0:1,2009,15,Sunday,bl2
Rot-Weiss Ahlen,Karlsruher SC,1:3,2009,15,Sunday,bl2
SC Paderborn 07,MSV Duisburg,1:3,2009,15,Sunday,bl2
SpVgg Greuther Fürth,Alemannia Aachen,0:2,2009,15,Monday,bl2
Hertha BSC,Bayer 04 Leverkusen,2:2,2009,16,Friday,bl1
TSG Hoffenheim,Eintracht Frankfurt,1:1,2009,16,Saturday,bl1
VfL Bochum,FC Bayern München,1:5,2009,16,Saturday,bl1
Borussia Mönchengladbach,Hannover 96,5:3,2009,16,Saturday,bl1
SC Freiburg,1. FC Köln,0:0,2009,16,Saturday,bl1
1. FC Nürnberg,Hamburger SV,0:4,2009,16,Saturday,bl1
SV Werder Bremen,FC Schalke 04,0:2,2009,16,Saturday,bl1
1. FSV Mainz 05,VfB Stuttgart,1:1,2009,16,Sunday,bl1
VfL Wolfsburg,Borussia Dortmund,1:3,2009,16,Sunday,bl1
Karlsruher SC,MSV Duisburg,0:1,2009,16,Friday,bl2
Alemannia Aachen,SC Paderborn 07,1:1,2009,16,Friday,bl2
1. FC Kaiserslautern,TuS Koblenz,3:0,2009,16,Friday,bl2
TSV 1860 München,FC Augsburg,1:0,2009,16,Saturday,bl2
FSV Frankfurt,Rot-Weiss Ahlen,0:0,2009,16,Saturday,bl2
Arminia Bielefeld,1. FC Union Berlin,1:1,2009,16,Sunday,bl2
FC St. Pauli,SpVgg Greuther Fürth,2:2,2009,16,Sunday,bl2
Fortuna Düsseldorf,Rot-Weiss Oberhausen,2:0,2009,16,Sunday,bl2
Energie Cottbus,Hansa Rostock,0:0,2009,16,Monday,bl2
FC Schalke 04,1. FSV Mainz 05,1:0,2009,17,Friday,bl1
FC Bayern München,Hertha BSC,5:2,2009,17,Saturday,bl1
Borussia Dortmund,SC Freiburg,1:0,2009,17,Saturday,bl1
Bayer 04 Leverkusen,Borussia Mönchengladbach,3:2,2009,17,Saturday,bl1
Hannover 96,VfL Bochum,2:3,2009,17,Saturday,bl1
Eintracht Frankfurt,VfL Wolfsburg,2:2,2009,17,Saturday,bl1
VfB Stuttgart,TSG Hoffenheim,3:1,2009,17,Saturday,bl1
Hamburger SV,SV Werder Bremen,2:1,2009,17,Sunday,bl1
1. FC Köln,1. FC Nürnberg,3:0,2009,17,Sunday,bl1
MSV Duisburg,Alemannia Aachen,0:2,2009,17,Friday,bl2
Rot-Weiss Ahlen,Energie Cottbus,0:4,2009,17,Friday,bl2
TuS Koblenz,FSV Frankfurt,0:1,2009,17,Friday,bl2
SpVgg Greuther Fürth,Karlsruher SC,1:4,2009,17,Saturday,bl2
Hansa Rostock,Fortuna Düsseldorf,2:1,2009,17,Saturday,bl2
Rot-Weiss Oberhausen,Arminia Bielefeld,0:0,2009,17,Sunday,bl2
1. FC Union Berlin,TSV 1860 München,1:1,2009,17,Sunday,bl2
SC Paderborn 07,FC St. Pauli,2:1,2009,17,Sunday,bl2
FC Augsburg,1. FC Kaiserslautern,4:1,2009,17,Monday,bl2
FC Bayern München,TSG Hoffenheim,2:0,2009,18,Friday,bl1
Hannover 96,Hertha BSC,0:3,2009,18,Saturday,bl1
Eintracht Frankfurt,SV Werder Bremen,1:0,2009,18,Saturday,bl1
Borussia Mönchengladbach,VfL Bochum,1:2,2009,18,Saturday,bl1
Hamburger SV,SC Freiburg,2:0,2009,18,Saturday,bl1
Bayer 04 Leverkusen,1. FSV Mainz 05,4:2,2009,18,Saturday,bl1
VfB Stuttgart,VfL Wolfsburg,3:1,2009,18,Saturday,bl1
FC Schalke 04,1. FC Nürnberg,1:0,2009,18,Sunday,bl1
1. FC Köln,Borussia Dortmund,2:3,2009,18,Sunday,bl1
Alemannia Aachen,Karlsruher SC,3:1,2009,18,Friday,bl2
1. FC Union Berlin,Rot-Weiss Oberhausen,1:0,2009,18,Friday,bl2
SC Paderborn 07,Fortuna Düsseldorf,1:1,2009,18,Friday,bl2
SpVgg Greuther Fürth,1. FC Kaiserslautern,3:0,2009,18,Saturday,bl2
Rot-Weiss Ahlen,FC St. Pauli,0:2,2009,18,Saturday,bl2
FC Augsburg,Energie Cottbus,3:1,2009,18,Sunday,bl2
TuS Koblenz,TSV 1860 München,2:2,2009,18,Sunday,bl2
MSV Duisburg,FSV Frankfurt,5:0,2009,18,Sunday,bl2
Hansa Rostock,Arminia Bielefeld,1:1,2009,18,Monday,bl2
SC Freiburg,VfB Stuttgart,0:1,2009,19,Friday,bl1
SV Werder Bremen,FC Bayern München,2:3,2009,19,Saturday,bl1
VfL Bochum,FC Schalke 04,2:2,2009,19,Saturday,bl1
1. FSV Mainz 05,Hannover 96,1:0,2009,19,Saturday,bl1
1. FC Nürnberg,Eintracht Frankfurt,1:1,2009,19,Saturday,bl1
Hertha BSC,Borussia Mönchengladbach,0:0,2009,19,Saturday,bl1
Borussia Dortmund,Hamburger SV,1:0,2009,19,Saturday,bl1
VfL Wolfsburg,1. FC Köln,2:3,2009,19,Sunday,bl1
TSG Hoffenheim,Bayer 04 Leverkusen,0:3,2009,19,Sunday,bl1
FSV Frankfurt,SpVgg Greuther Fürth,0:5,2009,19,Friday,bl2
TSV 1860 München,Hansa Rostock,3:0,2009,19,Friday,bl2
Fortuna Düsseldorf,1. FC Union Berlin,1:0,2009,19,Friday,bl2
FC St. Pauli,Alemannia Aachen,1:0,2009,19,Saturday,bl2
1. FC Kaiserslautern,Rot-Weiss Ahlen,0:0,2009,19,Saturday,bl2
Rot-Weiss Oberhausen,FC Augsburg,0:3,2009,19,Sunday,bl2
Arminia Bielefeld,TuS Koblenz,4:2,2009,19,Sunday,bl2
Karlsruher SC,SC Paderborn 07,1:2,2009,19,Sunday,bl2
Energie Cottbus,MSV Duisburg,0:1,2009,19,Monday,bl2
Hamburger SV,VfL Wolfsburg,1:1,2009,20,Friday,bl1
Borussia Mönchengladbach,SV Werder Bremen,4:3,2009,20,Saturday,bl1
Eintracht Frankfurt,1. FC Köln,1:2,2009,20,Saturday,bl1
Hertha BSC,VfL Bochum,0:0,2009,20,Saturday,bl1
FC Bayern München,1. FSV Mainz 05,3:0,2009,20,Saturday,bl1
Hannover 96,1. FC Nürnberg,1:3,2009,20,Saturday,bl1
FC Schalke 04,TSG Hoffenheim,2:0,2009,20,Saturday,bl1
VfB Stuttgart,Borussia Dortmund,4:1,2009,20,Sunday,bl1
Bayer 04 Leverkusen,SC Freiburg,3:1,2009,20,Sunday,bl1
SpVgg Greuther Fürth,Energie Cottbus,1:0,2009,20,Friday,bl2
MSV Duisburg,FC St. Pauli,0:2,2009,20,Friday,bl2
TuS Koblenz,Fortuna Düsseldorf,1:0,2009,20,Friday,bl2
FC Augsburg,Arminia Bielefeld,3:1,2009,20,Saturday,bl2
Rot-Weiss Ahlen,Rot-Weiss Oberhausen,1:0,2009,20,Sunday,bl2
SC Paderborn 07,FSV Frankfurt,0:2,2009,20,Sunday,bl2
Alemannia Aachen,1. FC Kaiserslautern,0:3,2009,20,Monday,bl2
Karlsruher SC,TSV 1860 München,2:0,2009,20,Wednesday,bl2
Hansa Rostock,1. FC Union Berlin,0:0,2009,20,Wednesday,bl2
SV Werder Bremen,Hertha BSC,2:1,2009,21,Friday,bl1
VfL Wolfsburg,FC Bayern München,1:3,2009,21,Saturday,bl1
1. FC Köln,Hamburger SV,3:3,2009,21,Saturday,bl1
SC Freiburg,FC Schalke 04,0:0,2009,21,Saturday,bl1
